"rt" "key_press" "correct_response" "correct" "condition" "stim_color" "stim_word" "session" "subj" "stim" "rtoutlier"
1077 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
859 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
870 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
826 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
1104 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
849 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
711 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
661 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
988 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
783 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
766 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
1180 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
529 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
535 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
797 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
484 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
623 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
589 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
715 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
1111 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
892 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
624 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
670 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
853 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
715 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
846 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
685 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
618 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
830 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
757 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
770 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
488 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
767 82 82 "TRUE" "incongruent" "red" "green" "1" 12 "S" NA
575 82 82 "TRUE" "congruent" "red" "red" "1" 12 "S" NA
1121 66 66 "TRUE" "incongruent" "blue" "green" "1" 12 "S" NA
610 66 66 "TRUE" "congruent" "blue" "blue" "1" 12 "S" NA
1055 71 71 "TRUE" "congruent" "green" "green" "1" 12 "S" NA
677 71 82 "FALSE" "incongruent" "red" "green" "1" 12 "S" NA
819 82 82 "TRUE" "congruent" "red" "red" "1" 12 "S" NA
